run_id,timestamp,numa_profile,iteration,status,tps,qps,p99_latency_ms,threads,run_time_s,report_interval_s,tables,table_size,mysql_host,mysql_port,mysql_cpu_node,mysql_mem_node,sysbench_cpu_node,sysbench_mem_node
20260126_150346,2026-01-26 15:03:51,node0_mem1,1,ok,7199.74,143994.85,8.58,32,60,1,16,1000000,127.0.0.1,3306,0,1,1,1
20260126_150346,2026-01-26 15:05:01,node0_mem1,2,ok,7159.21,143184.16,8.90,32,60,1,16,1000000,127.0.0.1,3306,0,1,1,1
20260126_150346,2026-01-26 15:06:11,node0_mem1,3,ok,7305.69,146113.80,7.30,32,60,1,16,1000000,127.0.0.1,3306,0,1,1,1
20260126_150748,2026-01-26 15:07:52,node0_mem1,1,ok,7181.67,143633.41,8.58,32,60,1,16,1000000,127.0.0.1,3306,0,1,1,1
20260126_150748,2026-01-26 15:09:03,node0_mem1,2,ok,7157.27,143145.30,8.90,32,60,1,16,1000000,127.0.0.1,3306,0,1,1,1
20260126_150748,2026-01-26 15:10:13,node0_mem1,3,ok,7212.69,144253.84,8.74,32,60,1,16,1000000,127.0.0.1,3306,0,1,1,1
20260126_151619,2026-01-26 15:16:23,node0_mem1,1,ok,7187.96,143759.18,8.58,32,60,1,16,1000000,127.0.0.1,3306,0,1,1,1
20260126_151619,2026-01-26 15:17:33,node0_mem1,2,ok,7145.49,142909.79,9.06,32,60,1,16,1000000,127.0.0.1,3306,0,1,1,1
20260126_151619,2026-01-26 15:18:44,node0_mem1,3,ok,7164.81,143296.14,8.90,32,60,1,16,1000000,127.0.0.1,3306,0,1,1,1
20260126_152340,2026-01-26 15:23:40,node0_mem1,1,ok,7138.96,142779.11,8.74,32,60,1,16,1000000,127.0.0.1,3306,0,1,1,1
20260126_152644,2026-01-26 15:26:44,node0_mem0,1,ok,7306.09,146121.83,8.74,32,60,1,16,1000000,127.0.0.1,3306,0,0,1,1
20260126_152944,2026-01-26 15:29:44,node0_mem0,1,ok,7315.72,146314.47,8.90,32,60,1,16,1000000,127.0.0.1,3306,0,0,1,1
20260126_153102,2026-01-26 15:31:02,node0_mem0,1,ok,7355.00,147100.01,8.74,32,60,1,16,1000000,127.0.0.1,3306,0,0,1,1
20260126_153317,2026-01-26 15:33:17,node0_mem0,1,ok,7299.11,145982.15,8.58,32,60,1,16,1000000,127.0.0.1,3306,0,0,1,1
